Legal entity,Amazon Web Services EMEA SARL($),netgo group GmbH($),Datadog Inc.($),Snowflake Computing Netherlands B.V.($),CircleCI Technical Services($),"REALTIMEBOARD, INC. DBA MIRO($)",Cognosys Inc.($),"Anthropic, PBC($)",AMCS LLC($),Total costs($)
Legal entity total,1382986.8461389446,161860.4815828835,71366.0978109534,55582.768387716,15642.9230371969,10768.6140062185,176.2349340463,0.3455531698,0.0000000127,1698384.3114511417
2025-03-01,138474.7797065352,,,,,,55.6002611543,,0.0000000064,138530.3799676958
2025-04-01,125139.8067309064,,,,,,47.8481033258,,0,125187.6548342322
2025-05-01,115320.4481900181,161860.4815828835,,,,,52.7503462726,0.0049140199,0.0000000063,277233.6850332005
2025-06-01,108754.8650138047,,,,,,18.1554066081,,0,108773.0204204128
2025-07-01,116164.2751871865,,71366.0978109534,,,10768.6140062185,,,0,198298.9870043584
2025-08-01,101351.9166638735,,,2831.4441528332,,,,0.3384372594,,104183.6992539661
2025-09-01,122433.7739775503,,,,,,,,,122433.7739775503
2025-10-01,118990.9470452301,,,,,,,,,118990.9470452301
2025-11-01,109891.3684990773,,,1879.970550837,,,1.8808166855,,,111773.2198665998
2025-12-01,106958.1089443022,,,,1367.5374887449,,,,,108325.6464330471
2026-01-01,104805.8026017141,,,50871.3536840458,14275.385548452,,,0.0022018905,,169952.5440361025
2026-02-01,114700.7535787463,,,,,,,,,114700.7535787463
