Region,Europe (Ireland)($),Europe (Frankfurt)($),Global($),US East (N. Virginia)($),Europe (Paris)($),Europe (London)($),Canada (Central)($),Asia Pacific (Singapore)($),South America (São Paulo)($),US East (Ohio)($),US West (Oregon)($),Asia Pacific (Mumbai)($),Asia Pacific (Tokyo)($),Asia Pacific (Sydney)($),US West (N. California)($),Asia Pacific (Seoul)($),Europe (Stockholm)($),Asia Pacific (Osaka)($),Africa (Cape Town)($),Middle East (Bahrain)($),Asia Pacific (Hong Kong)($),Europe (Milan)($),Total costs($)
Region total,1033894.4612812214,227029.390142326,52765.1881362443,32261.1732154596,21239.3616181237,2195.6555892809,1282.2273682221,1130.1985045117,851.4852850899,862.5498821856,658.5533092983,588.6366344031,569.9561885812,505.5059898408,487.0930967226,468.8649926829,445.8152154197,351.6317386839,116.7638519138,57.2771272933,0,0,1377761.7891675048
2025-03-01,89927.719156572,18966.4338245635,3907.8374870108,3382.8859692508,2655.8846323265,260.2314561197,176.7196623218,183.6526909698,211.3659383293,221.6558776925,162.5551489968,164.6826889761,170.050143705,163.9008109217,145.0229555462,154.1458311403,143.8536494516,115.6136875814,9.7921658046,4.2142763226,0,0,121128.2180536029
2025-04-01,108404.2440691941,22116.6068974453,4228.3589689916,3145.2141140899,3131.8749932604,145.2950842372,48.2732478018,93.3253747917,54.1518420373,79.6410737376,42.1805470923,32.8623055738,33.3971819504,33.0801759844,30.2027925011,27.8964207884,28.3301872423,28.9013989403,15.5563102865,5.9557510185,0,0,141725.3487369653
2025-05-01,97029.7570454631,23119.8678349642,4369.5824602654,3514.2427811051,3579.6835299756,149.3054937848,78.0292892816,108.1993211301,62.8732475453,85.6890490942,44.7088862109,66.5015258515,45.6971150183,37.3880422606,33.8932837673,33.3998632953,34.8479096464,26.2247816915,12.6102288464,7.6032843601,0,0,132440.1049735577
2025-06-01,80142.6742716085,18636.7086679441,4775.3701891664,2777.6281799361,2911.6048956006,185.0359021149,73.0322638161,84.8730742686,53.873778245,87.0288244473,52.9528166191,42.3953489263,41.1592388566,33.6543430498,33.6871503129,31.8299134757,33.6324709368,24.8615268919,10.1698256932,4.5306229007,0,0,110036.7033048107
2025-07-01,79765.5893962121,18714.937499751,4222.7764711841,2824.8556437308,1077.7032202378,233.3289429534,72.0899801878,66.6155927347,60.0662424496,78.4194008588,46.3594950456,34.9908174741,39.7486167066,37.8291050419,33.1702263482,35.38740953,28.9742419437,23.9036387684,13.5855112983,4.2248924761,0,0,107414.5563449332
2025-08-01,90467.8478658093,19554.5047629985,4455.3536466771,2676.5440482732,979.6363923017,212.697547373,75.7275950993,70.568814164,53.9889267758,47.3584548126,49.9229423943,37.9801356482,37.5375945076,33.0709009758,33.4045678816,29.3282319243,29.9365743961,20.5629182568,12.4306187206,4.4490153793,0,0,118882.851554369
2025-09-01,89571.3269468446,17010.7254695962,4792.7154699932,2902.5697772701,970.1237129113,185.5564541549,92.2734931999,165.1543727861,80.1499097734,44.0654974566,47.4733078773,44.501281287,47.1423127237,29.9781035441,32.8562017202,26.9318542154,27.8362476453,20.9597261326,12.5283956262,8.6520608451,0,0,116113.5205956031
2025-10-01,83127.4445677447,15972.0944836539,4171.1100184526,2350.6849370076,1047.9742226989,177.1749302216,155.6549791573,127.1156439744,75.5171974215,38.4647042056,42.5127763235,44.4845290858,42.8936759941,28.2285572899,33.1347521148,26.0745506806,22.3282882847,16.790761067,13.6913416591,6.2229322754,0,0,107519.5978493131
2025-11-01,74156.6919868477,16186.4102403401,4343.8521524779,2048.4618885294,1927.9084404227,157.2710762971,172.1032749698,93.0142690365,66.3357582758,37.1139119353,38.2236230076,36.9023972551,33.1832629197,29.9727495456,27.3830185501,27.0909775546,25.385249059,18.2814221423,8.9882683015,5.4517061351,0,0,99440.0256736027
2025-12-01,78157.6663877432,18741.9907216599,4680.9092012131,2209.9643548022,1657.9888143067,150.9015618407,138.4867072939,52.2221509424,45.0618036308,43.2631176745,45.0160917185,30.9995358833,25.4779229784,28.0016180446,26.6578481507,28.2082913587,25.2521200687,17.6808194191,2.5894851271,2.1895489994,0,0,106110.5281028559
2026-01-01,81564.7370549295,20298.7465200846,4209.1264278464,2432.676909373,866.2397503379,160.2724777308,96.8144420167,48.1026518116,43.6660782775,49.3377935194,44.9800571285,28.0056906121,30.2233247693,29.3876123947,31.6261721309,26.4372213802,24.5673260311,19.9409366193,2.2879507981,1.8635559327,0,0,110009.0399537243
2026-02-01,81578.7625322526,17710.3632193247,4608.1956429657,1995.4446120914,432.7390137436,178.5846624528,103.0224330761,37.3545479018,44.4345623286,50.5121767512,41.6676168839,24.3303778298,23.4457984515,21.0139707877,26.0541276986,22.1344273394,20.870950714,17.9101211733,2.5337497522,1.9194806483,0,0,106941.2940241671
