Service,Relational Database Service($),CloudWatch($),EC2-Other($),S3($),DynamoDB($),EC2-Instances($),VPC($),CloudFront($),Elastic Load Balancing($),OpenSearch Service($),Glue($),Firewall Manager($),Lambda($),API Gateway($),Config($),WAF($),GuardDuty($),SQS($),SNS($),Kinesis($),Athena($),Key Management Service($),Shield($),ElastiCache($),Secrets Manager($),SageMaker($),Elastic Container Service($),Backup($),Route 53($),Pinpoint($),Transfer Family($),Managed Workflows for Apache Airflow($),Cognito($),Elastic File System($),SES($),Network Firewall($),Redshift($),Managed Streaming for Apache Kafka($),Elastic MapReduce($),Macie($),QuickSight($),Kinesis Firehose($),EC2 Container Registry (ECR)($),CloudTrail($),DocumentDB (with MongoDB compatibility)($),Inspector($),Step Functions($),Elastic Container Service for Kubernetes($),Security Hub($),X-Ray($),Cost Explorer($),Cloud WAN($),DMS($),Glacier($),CloudWatch Events($),Service Catalog($),Certificate Manager($),Direct Connect($),CodeBuild($),AppFlow($),Windows Server 2022-24x7 Supported by Cognosys($),Directory Service($),Managed Grafana($),Systems Manager($),Application Migration Service($),Global Accelerator($),CodePipeline($),MQ($),Amplify($),MemoryDB($),Neptune($),Lightsail($),WorkMail($),Timestream($),CodeArtifact($),Resilience Hub($),Bedrock($),Data Pipeline($),Identity and Access Management Access Analyzer($),Location Service($),Elemental MediaConvert($),Payment Cryptography($),Textract($),Budgets($),Claude ( Bedrock Edition)($),Elastic Container Registry Public($),DevOps Guru($),Comprehend($),IoT($),Polly($),Claude 3.5 Sonnet ( Bedrock Edition)($),Rekognition($),Claude Sonnet 4.5 ( Bedrock Edition)($),Transcribe($),AppSync($),CloudShell($),SimpleDB($),HealthImaging($),Simple Workflow Service($),"Contact Center Telecommunications (service sold by AMCS, LLC)($)",CloudFormation($),DataZone($),Lex($),Translate($),Migration Hub Refactor Spaces($),Aurora DSQL($),CloudFront Flat-Rate Plans($),Total costs($)
Service total,226823.3378240907,128914.2899908299,108088.4376686214,88748.2442370038,81187.243104115,78029.3199349602,77004.9650903949,73046.1289560383,48854.0791705692,44659.9966870504,39981.9330933843,38167.0802365653,39745.8962114282,29526.8797344118,25463.4292489253,25595.2070110136,21881.7029948158,21896.0809949976,20602.3918550179,16294.2885594343,14501.1609797989,14451.6393025517,13526.8698062155,10979.6194092127,9480.6879161404,8673.6287229979,8487.1001896809,7264.6115682351,5799.7259155766,3764.1102778253,3708.744553593,3452.6053517032,3226.3261147895,3027.7641969336,2872.8665857449,2530.1287883518,2580.9795068649,2546.2710183931,2085.2640552925,2119.9385136664,1575.7017120137,1501.3065179546,1458.2052562553,1237.9844065212,1262.6588482193,1227.6281479441,1198.8497692619,986.4482828417,958.4345812316,928.3567390028,862.8919728598,772.5768043926,639.4636585364,661.2055424283,527.5202300988,474.323709892,237.322473607,235.8830873039,196.8496021738,187.351411126,178.1222572465,165.0782439814,134.9928161855,93.9993096219,64.7507462187,57.4272606768,47.7086513517,46.5572698192,41.1285141564,40.1539376306,35.6538980927,30.5264717363,24.8182372326,17.6229566016,16.3071509377,16.0798733937,8.986379199,4.9871495336,4.0121617768,3.5339429998,3.2886643634,1.8262681419,0.8501236898,0.7490040396,0.3252245063,0.1593885578,0.0690319695,0.0653735268,0.0498875621,0.0085430497,0.0047996624,0.002727716,0.0022211065,0.0015735749,0.0009206937,0.0000532338,0.0000023512,0.0000004373,0.0000000191,0.0000000129,0,0,0,0,0,0,0,1377761.7891675085
2025-03-01,19613.4902866814,13890.7714110172,10486.2179146226,8126.6547892242,8836.1538610615,8307.3390758186,5623.1582614998,5927.5180986819,4682.4861993317,3744.9271554025,2438.1127370421,3698.972925455,9767.4062241338,2105.2125691526,2184.748745991,1668.5449784892,2800.7027953345,1766.8860678393,1525.268519637,1445.5824443457,1059.6161382042,1037.6108823192,1165.1167222046,825.9966967159,828.3706756022,675.9696608258,832.6989152575,1639.6351081793,469.1230898019,389.9412136937,326.2378738747,214.2351456393,6.4645517829,303.6203960078,243.3626046715,221.9634713659,207.3477444429,203.8810531245,205.6974617642,411.9314125201,116.5345368958,100.6156500124,78.6323347483,193.7129456348,49.7796216206,108.416938715,92.7805736691,262.4570424918,69.7459408138,137.7057047928,68.7726698339,70.84151411,55.2797399214,57.3546730655,22.1236585351,129.7321298976,33.6295059157,21.4982277928,8.011885798,7.0130324722,55.1795973328,35.3132707167,8.6594801775,6.1349494267,5.4444547252,4.5868011409,1.995819545,3.9894561671,3.2646329923,3.5742848268,7.0820701519,2.6518087085,1.7068342083,0.002288034,1.0226081826,1.316014943,0.0032034512,0.4257112138,,3.3035802025,0.4469050417,,,0.0619565524,,0.0130824742,,0.0001594201,0.0330050704,0.0000907835,,,,,,0.0000005803,0.0000002874,,,0.0000000064,0,0,0,0,,,,131739.8262718596
2025-04-01,22633.0981653453,11241.270393341,9494.7546624489,8525.0240346582,8153.8744872104,8103.3412633082,6475.683645034,5858.4030036665,4366.4937685579,3546.3839837785,3076.1293881047,3595.2325830399,8850.5749989653,2367.8241130467,2001.9412442534,1814.0450700007,2061.9906472974,1435.1773012939,1323.182638326,1527.1321909844,1183.4670003238,1088.4295887488,1398.4589528273,799.0408702032,814.76812582,770.4968382446,642.4478450232,1519.7473464483,540.2389016177,294.9982059724,309.3837387375,212.6597081272,7.9114451882,302.0191025334,227.7823284597,219.3027202985,198.5678689606,221.9412930432,183.624914586,465.3903116308,123.9359178809,118.4020617853,83.7944793895,130.5644063934,50.6449312804,116.5293755619,87.9788845884,102.5250478859,77.2528767955,130.7529147179,67.7481445669,67.2408294647,49.0864884111,59.0467528817,22.7921884604,65.6484780471,35.8773928878,21.2210138629,4.6062013132,8.0990077077,51.1226497015,30.9474557595,7.0624118725,6.0731404245,5.4808160117,5.2381276096,0.7290590904,3.5895431441,2.8109911477,2.98622406,7.5905874811,2.7103784822,1.9587725308,0.0020194548,1.0693888585,1.4123117011,0.0028629708,0.408913416,0.0001850834,0,0.3156358752,,,0.0616186999,,0.0115771332,0.0432251775,0.0001021738,0.0104095688,,,,,,,0.0000011086,0.0000000775,0.0000004373,,0,0,0,,0,0,,,129407.6204923906
2025-05-01,19517.5264418419,11803.9129140323,9699.1307393989,7164.9332702943,7334.9788788377,8970.8234918644,6786.2934831704,6134.693518961,4158.0487381488,2915.9632507155,2662.6079718353,3889.1122103163,5474.8345894051,2240.7867069179,1917.0651464941,1895.8256893671,2096.7754899041,1369.7935171359,1498.7701078345,1555.5353328574,903.1966684971,1296.796160031,1451.3042709369,851.1944055516,846.4022335825,845.3548740179,803.0126336582,1111.5450920236,521.1558279857,358.5835665052,331.5121530999,251.2096760609,263.6596725966,195.9313964903,221.1284576538,223.9146870079,222.386181901,210.9330622688,175.5115464167,518.3416141624,137.9099621625,122.3112073667,100.0363574356,119.9053785986,47.9281753521,125.7085133171,99.8796507224,96.0947320557,100.9288366959,68.3356017459,66.2647850023,66.4385994732,52.5602808439,54.7109975109,23.7275825095,27.4937869116,33.2133891735,18.2704171022,19.5402946007,11.9965215188,49.7843038149,17.9426938005,6.3618133845,7.0477971418,5.1715222356,4.5804304689,4.5044118952,4.0411850952,3.585763565,3.0853170843,6.993131267,2.5739477261,1.6324797601,,0.9691604349,1.2269110594,2.815247306,0.4753718406,,0,0.285581244,,,0.065795441,,0.0142348078,0.025806792,0.000246684,0.0064711123,,0.0047996624,,,,0.0000676057,0.0000003136,0.0000001371,,,0.0000000065,0,0,,0,,,,122206.935231566
2025-06-01,19400.673432956,11138.0175771756,8935.2107954158,8700.2072621204,7205.4007774206,7546.5216016588,5919.4461495106,5609.9553181226,4209.3009289451,3374.1606982802,3018.6233332425,3710.753457745,2900.2130842997,2335.5007076311,2052.4723402634,2222.4072835367,1944.9128042051,1743.8807402952,1677.281517365,1716.4533000258,881.0249938688,1142.7161239353,928.6698204656,950.4613845362,696.5810649283,900.1324682857,602.4316847388,475.181159315,470.6870703226,324.4771124289,348.4133617281,303.3119335279,358.7288558647,220.12878638,233.4791079742,238.8417899092,193.8050218012,199.2404824171,173.6670051595,623.143851727,127.843298808,107.6420705015,101.1096341355,107.0941537472,54.1195245165,101.2125185668,104.0084890589,34.6699106769,81.0139644911,63.8593836066,81.2478406719,64.6138503562,57.2681731341,53.1342510653,24.8512167401,22.8605901236,34.6652846,20.5894434663,3.5766045615,9.660058166,20.1501507376,16.8303539837,12.0929483539,5.8399523801,5.5162380333,4.5985864456,1.0953418743,3.756460155,2.7679795457,3.5065528017,7.643446862,2.3866387836,1.9491972878,5.340402033,1.1420885856,1.3632793431,0.2819629693,0.4923878748,0.8593507286,0,0.3778955945,,,0.0644188932,,0.0127323906,,0.0001239812,,0.0051141249,,,,,,0.0000009802,0.0000002365,,,0,0,0,,0,,0,,116979.6300555034
2025-07-01,19735.2529099429,11246.8351495704,8035.5791948959,7542.7763894856,7193.1893417728,5574.5986165395,5656.5789630291,5820.4618986762,3740.7256998027,3613.8964022357,3235.656928031,2711.4247549123,1290.3069683288,2494.1464740435,2221.0149424577,2102.3131219855,1984.9396169513,1726.6422084195,2071.373053356,1551.5493077902,1250.8087078757,1241.9162331329,1027.7463808984,914.4456267944,713.9970123511,763.867271922,462.0061992537,332.8475238772,500.4600470692,333.6812424885,284.3277423512,267.4020668569,437.4486533267,241.7580851692,247.3123219907,209.0701534795,210.5886142659,226.3438678969,182.1728223732,16.5084928487,132.1819676906,120.6122808418,105.4385353842,156.6081010797,66.5640460061,112.2237381446,114.6351496572,32.5677931123,75.8698260412,68.9538638633,79.7483354862,61.7443572016,55.4364198938,56.2617221661,40.5694329473,27.1632400454,36.7205680749,18.3015975783,74.7218778499,7.295969552,,15.1134145172,17.3237866906,5.5797510375,5.3026609827,5.1847469732,19.5268069898,4.2418462266,2.9672526276,3.2887728069,6.3446623307,2.3873487488,2.1964893323,12.2750437303,1.2029669626,1.470095872,2.8925888761,0.4231997757,1.0286696137,0.009319835,0.3422181236,,,0.0677239343,,0.0127013111,,0.0001655636,,0.0017093236,,,,,,0.0000013863,0.0000001994,,0.0000000191,0,0,0,,0,,0,,110966.7737748553
2025-08-01,18253.9732845022,9849.6884955576,8566.2844774199,6615.8422459351,6770.7871879854,5235.2706140184,6549.9179160191,5910.9476626094,3817.2891678381,3713.2868135842,3115.3753969212,2705.5400159105,879.4509451307,2290.7627159311,1979.9997227998,2093.3690822359,1642.0572812854,2079.0122652795,2135.4311518178,1553.7009723004,1008.2816217898,1157.1591602584,1061.9460095219,863.9221235622,695.6556310298,544.7784240847,526.9532925442,337.056889899,452.2032263409,293.1541007787,265.4050040303,341.8825039989,332.9411055035,226.460568278,250.3056596952,198.3969528072,226.8304379014,217.4411557184,171.0771060723,12.3334421098,134.2838212264,123.0655293829,112.3363077339,75.9564921063,156.3374632276,107.6899846636,105.5828029709,25.5443468851,76.1147400273,70.4062417988,68.7232920916,61.8116967741,57.7125541291,58.3835990375,80.1048408542,28.2257348018,34.6914549259,18.3007330135,13.4304006383,17.0382154442,,8.2028004516,7.2631042953,5.0497444906,5.8917652961,4.5787670334,3.6375697966,3.659467851,3.0242844675,3.6831613925,,2.7313427025,2.0770009875,,1.2272426555,1.4679342438,0.6244801923,0.4746126353,1.0386981057,0.0000231846,0.2548936349,,0.8501236898,0.0579301625,0.3252245063,0.0139566738,,0.0002096778,,,,0.0000906088,,,,0.0000002826,0.0000002323,,,,0,0,,0,,0,,106424.0465119899
2025-09-01,18577.8500130143,11223.8764209692,8826.0340711277,6745.7978745806,5880.2042780349,5527.9020484425,6515.9365032308,6824.5542421659,3709.8454063368,3562.7606393548,3641.2935425467,2728.3129058624,1115.4762472424,2337.6473171336,2194.6134172667,2245.7419638402,1564.1644328536,2001.830808172,2053.3397032499,1359.6701707219,1439.9499370542,1111.4695592376,1098.7763952928,966.7992397598,826.7402582212,1066.0275639244,668.0585817979,303.4075381585,489.1289096423,252.6358023895,284.6833653241,341.089420968,278.7499375568,220.6717731672,240.6787215786,223.2750239222,220.9535973914,217.6071887881,152.0842898786,12.1709307783,137.0775259958,128.2989745373,103.9510076641,69.0190278922,191.7014493188,97.693064384,113.1901099628,25.0133626021,71.5746557719,72.6351828175,76.8592026597,70.9244215643,51.5252278652,58.6798743985,101.4211990164,27.9720999722,28.5248780292,18.9269730758,2.4194519628,20.444228519,,7.1738141617,11.4426130103,4.6385400176,5.4689285035,5.127252284,0.4562638326,4.0088801902,2.2986302343,3.5205019084,,2.657919803,2.173567212,,1.9600096724,1.2611838426,2.105948598,0.4380179774,1.0849005062,0,0.4063748286,,,0.0604508709,,0.0118811853,,0.000389176,,0.0007430013,,,,,0.0000002478,0.0000182408,0.00000015,,,,0,0,,0,,0,,110575.9587884431
2025-10-01,19162.2289826055,9479.8385735298,7880.3938835219,7014.7195263314,6620.6376460961,5771.3292448971,6678.7694600079,6415.0698808373,4135.6618741331,3648.8098559173,4229.2427003272,3152.5976948919,1070.8427910637,2707.7922195056,2269.6814601345,2495.4843579884,1498.5246419643,2107.4888731847,1807.2770768684,1244.1745448236,1394.1707331673,1211.880593482,1041.1195085614,886.5531819545,852.3561786023,541.6269290102,757.5156531708,339.6045114966,446.7195585194,228.2958698997,304.3044375124,324.7607327634,299.4990283161,247.1889802525,240.4484860078,211.669500423,214.6781308142,229.9617148364,189.4647989499,12.8212705983,138.6567187642,146.9088186669,129.9759081833,64.988249992,173.4221396231,107.3330197271,106.4761293382,27.318957015,85.2355294773,58.346888818,78.6821721285,61.2075005458,56.9603594812,49.3214936788,55.0653351917,28.1882674409,0,19.7099446642,11.5247818018,20.999742991,,7.0807348002,12.1650806921,4.915672547,5.5100341905,4.7236307323,2.6365924261,3.9077552515,2.7635179618,3.4396275514,,2.3605538338,2.2258248681,0.0032033495,2.0011059658,1.3873914763,0.2374009398,0.4593666071,,0.0000057715,0.4444198529,0.5766617156,,0.0667478934,,0.0118901815,,0.0181017947,0.0000002838,,,,,,,0.0000086135,0.0000001866,,,,0,0,,0,0,0,,110842.4623739833
2025-11-01,18923.3202180437,9668.6360852879,7831.072186387,6562.1476043619,4905.3765961697,5192.2477341427,5647.8162739207,6269.2385908135,4255.436445753,4829.8308721627,3657.1271424424,2932.5422528371,1229.0398753875,2334.3479744419,1873.7498439643,2262.2506035736,1695.4779839204,2000.5869113948,1746.206438197,1399.2423987389,1378.461065349,1334.438879081,1015.2634311662,932.8134261606,829.9619182632,751.3517201754,704.6427511869,325.3106489127,466.2842649966,283.2994665729,285.9369570234,278.4189164082,285.2282289981,351.0679286959,246.1702929477,207.2990997515,195.8510658018,192.8648342355,159.4592259895,11.9045429309,128.0204576845,123.8860880737,150.6774186596,68.4674389965,152.972886684,86.4873626652,94.1576040858,43.8152268908,82.8004661684,62.5009179013,66.0719186373,65.3169524938,49.4700823527,50.4681650908,40.3965189607,25.6554133025,0,19.7733579301,2.1586921564,21.8513691633,1.8855556597,6.7138166456,12.7945139383,4.2844990226,4.9832144073,4.7413277895,0.2834158416,3.9658080142,7.1994289902,3.0189578167,,2.6048776314,2.3238273949,,1.395516186,1.2686843691,0.0030112099,0.4090447484,,0.0029338302,0.075340681,1.2496064263,,0.059256085,,0.0121053505,,0.0224868555,0.0000005838,0.0008858164,,,,,0.0003709305,0.0000069336,0.000000164,,,,0,0,,0,,,,106845.9695278074
2025-12-01,17300.2218656633,10008.5546984988,9364.6074831778,6976.0889360274,5710.617962298,5658.6510717115,6021.5175912551,5243.1212234486,3619.4888453461,4083.4391244297,3932.89044041,3198.4480042779,2088.3983845538,2671.2028218755,2184.2562384261,2028.8289045021,1566.7316508877,1553.1263869184,1273.2198585224,853.6747692188,1420.3416475888,1308.1108309548,1117.7223242613,882.7018337016,745.8515885795,599.9732051252,820.9715583816,339.2393161668,475.8004729157,267.5564221537,316.8667357423,274.4309660767,308.6932785001,247.737350928,211.4254461444,189.1842771317,246.2353430731,224.5803520182,153.301527334,11.2695211503,132.4781276389,132.7524760313,153.4775051089,64.2052536718,159.9881548085,90.8506659521,75.9231318468,124.1601108164,74.1589452036,60.3672976151,73.553087395,61.6268278897,57.0451272749,56.8998518244,35.2248978891,29.7552027469,0,20.2665698202,0.9465402185,33.7908501601,,7.0643633426,12.2068654844,4.7238668973,5.3811406072,4.5612644506,0.1449401766,3.6215754112,3.8965246905,3.2993512229,,2.7333663408,2.0785949674,,1.4923728408,1.2478569376,0.0002853804,0.3635288084,0.0001860327,0.0686309927,0.1557166817,,,0.0669563742,,0.0130555902,,0.0103696124,0.000000405,,,,,,0.0002327381,0.0000004335,0.0000002351,,,,0,0,,0,,,0,106989.6819299433
