Month,Project name,Project ID,Project number,Project hierarchy,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Project 001,project-001,000000000001,Hierarchy 001,30057.52,0.00,-4876.24,-937.08,24244.200000,24244.20
2026-02,Project 002,project-002,000000000002,Hierarchy 001,8801.66,0.00,-1486.50,-234.76,7080.400000,7080.40
2026-02,Project 003,project-003,000000000003,Hierarchy 002,4746.59,0.00,-1352.41,-217.90,3176.280000,3176.28
2026-02,Project 004,project-004,000000000004,Hierarchy 003,5086.46,0.00,-2009.47,-47.36,3029.630000,3029.63
2026-02,Project 005,project-005,000000000005,Hierarchy 001,3932.64,0.00,-962.62,-179.43,2790.590000,2790.59
2026-02,Project 006,project-006,000000000006,Hierarchy 004,3199.40,0.00,-917.83,-84.77,2196.800000,2196.80
2026-02,Project 007,project-007,000000000007,Hierarchy 003,2595.33,0.00,-558.56,-27.83,2008.940000,2008.94
2026-02,Project 008,project-008,000000000008,Hierarchy 002,2276.26,0.00,-447.90,-94.62,1733.740000,1733.74
2026-02,Project 009,project-009,000000000009,Hierarchy 005,272.11,0.00,-55.64,-14.34,202.130000,202.13
2026-02,Project 010,project-010,000000000010,Hierarchy 006,173.59,0.00,0.00,0.00,173.590000,173.59
2026-02,Project 011,project-011,000000000011,Hierarchy 007,152.80,0.00,0.00,0.00,152.800000,152.80
2026-02,Project 012,project-012,000000000012,Hierarchy 008,19.43,0.00,0.00,0.00,19.430000,19.43
2026-02,Project 013,project-013,000000000013,Hierarchy 009,4.83,0.00,0.00,0.00,4.830000,4.83
2026-02,Project 014,project-014,000000000014,Hierarchy 004,3.26,0.00,0.00,0.00,3.260000,3.26
2026-02,Project 015,project-015,000000000015,Hierarchy 010,0.62,0.00,0.00,0.00,0.620000,0.62
2026-02,Project 016,project-016,000000000016,Hierarchy 011,0.24,0.00,0.00,0.00,0.240000,0.24
2026-02,Project 017,project-017,000000000017,Hierarchy 012,0.16,0.00,0.00,0.00,0.160000,0.16
2026-02,Project 018,project-018,000000000018,Hierarchy 010,0.09,0.00,0.00,0.00,0.090000,0.09
2026-02,Project 019,project-019,000000000019,Hierarchy 013,0.03,0.00,0.00,0.00,0.030000,0.03
2026-02,Project 020,project-020,000000000020,Hierarchy 014,0.02,0.00,0.00,0.00,0.020000,0.02
2026-02,Project 021,project-021,000000000021,Hierarchy 015,0.01,0.00,0.00,0.00,0.010000,0.01
2026-02,Project 022,project-022,000000000022,Hierarchy 006,0.01,0.00,0.00,0.00,0.010000,0.01
2026-02,Project 023,project-023,000000000023,Hierarchy 014,0.00,0.00,0.00,0.00,0.000000,0.00
2026-02,Project 024,project-024,000000000024,Hierarchy 012,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,Project 001,project-001,000000000001,Hierarchy 001,29654.06,0.00,-6217.61,-1099.65,22336.800000,22336.80
2026-01,Project 002,project-002,000000000002,Hierarchy 001,8686.61,0.00,-1513.88,-226.42,6946.310000,6946.31
2026-01,Project 003,project-003,000000000003,Hierarchy 002,5808.20,0.00,-1671.08,-252.49,3884.630000,3884.63
2026-01,Project 004,project-004,000000000004,Hierarchy 003,5805.39,0.00,-2007.63,-80.03,3717.730000,3717.73
2026-01,Project 005,project-005,000000000005,Hierarchy 001,4305.38,0.00,-976.91,-198.34,3130.130000,3130.13
2026-01,Project 006,project-006,000000000006,Hierarchy 004,3553.28,0.00,-1001.77,-100.14,2451.370000,2451.37
2026-01,Project 007,project-007,000000000007,Hierarchy 003,3092.13,0.00,-783.39,-55.46,2253.280000,2253.28
2026-01,Project 008,project-008,000000000008,Hierarchy 002,2535.70,0.00,-547.93,-106.22,1881.550000,1881.55
2026-01,Project 009,project-009,000000000009,Hierarchy 005,315.60,0.00,-64.92,-16.70,233.980000,233.98
2026-01,Project 010,project-010,000000000010,Hierarchy 006,169.07,0.00,0.00,0.00,169.070000,169.07
2026-01,Project 011,project-011,000000000011,Hierarchy 007,150.69,0.00,0.00,0.00,150.690000,150.69
2026-01,Project 029,project-029,000000000029,Hierarchy 002,40.19,0.00,0.00,0.00,40.190000,40.19
2026-01,Project 030,project-030,000000000030,Hierarchy 003,39.20,0.00,0.00,0.00,39.200000,39.20
2026-01,Project 012,project-012,000000000012,Hierarchy 008,25.56,0.00,0.00,0.00,25.560000,25.56
2026-01,Project 013,project-013,000000000013,Hierarchy 009,5.29,0.00,0.00,0.00,5.290000,5.29
2026-01,Project 014,project-014,000000000014,Hierarchy 004,3.33,0.00,0.00,0.00,3.330000,3.33
2026-01,Project 015,project-015,000000000015,Hierarchy 010,0.58,0.00,0.00,0.00,0.580000,0.58
2026-01,Project 016,project-016,000000000016,Hierarchy 011,0.25,0.00,0.00,0.00,0.250000,0.25
2026-01,Project 017,project-017,000000000017,Hierarchy 012,0.16,0.00,0.00,0.00,0.160000,0.16
2026-01,Project 018,project-018,000000000018,Hierarchy 010,0.09,0.00,0.00,0.00,0.090000,0.09
2026-01,Project 019,project-019,000000000019,Hierarchy 013,0.03,0.00,0.00,0.00,0.030000,0.03
2026-01,Project 020,project-020,000000000020,Hierarchy 014,0.02,0.00,0.00,0.00,0.020000,0.02
2026-01,Project 021,project-021,000000000021,Hierarchy 015,0.01,0.00,0.00,0.00,0.010000,0.01
2026-01,Project 022,project-022,000000000022,Hierarchy 006,0.01,0.00,0.00,0.00,0.010000,0.01
2026-01,Project 023,project-023,000000000023,Hierarchy 014,0.00,0.00,0.00,0.00,0.000000,0.00
2026-01,Project 024,project-024,000000000024,Hierarchy 012,0.00,0.00,0.00,0.00,0.000000,0.00
2025-12,Project 001,project-001,000000000001,Hierarchy 001,33974.88,0.00,-6336.44,-688.17,26950.270000,26950.27
2025-12,Project 002,project-002,000000000002,Hierarchy 001,8479.07,0.00,-1314.14,-173.78,6991.150000,6991.15
2025-12,Project 003,project-003,000000000003,Hierarchy 002,5656.66,0.00,-1653.57,-165.20,3837.890000,3837.89
2025-12,Project 004,project-004,000000000004,Hierarchy 003,5222.58,0.00,-1904.53,-42.88,3275.170000,3275.17
2025-12,Project 005,project-005,000000000005,Hierarchy 001,4489.39,0.00,-1238.71,-160.18,3090.500000,3090.50
2025-12,Project 006,project-006,000000000006,Hierarchy 004,3450.79,0.00,-1002.41,-79.02,2369.360000,2369.36
2025-12,Project 007,project-007,000000000007,Hierarchy 003,3402.91,0.00,-943.60,-33.06,2426.250000,2426.25
2025-12,Project 008,project-008,000000000008,Hierarchy 002,2389.09,0.00,-560.50,-93.32,1735.270000,1735.27
2025-12,Project 009,project-009,000000000009,Hierarchy 005,276.43,0.00,-73.08,-12.35,191.000000,191.00
2025-12,Project 010,project-010,000000000010,Hierarchy 006,143.94,0.00,0.00,0.00,143.940000,143.94
2025-12,Project 011,project-011,000000000011,Hierarchy 007,133.18,0.00,0.00,0.00,133.180000,133.18
2025-12,Project 030,project-030,000000000030,Hierarchy 003,84.65,0.00,-17.42,-0.10,67.130000,67.13
2025-12,Project 029,project-029,000000000029,Hierarchy 002,68.23,0.00,0.00,0.00,68.230000,68.23
2025-12,Project 010,project-010,000000000010,Hierarchy 016,28.79,0.00,0.00,0.00,28.790000,28.79
2025-12,Project 012,project-012,000000000012,Hierarchy 008,24.51,0.00,0.00,0.00,24.510000,24.51
2025-12,Project 011,project-011,000000000011,Hierarchy 017,22.87,0.00,0.00,0.00,22.870000,22.87
2025-12,Project 013,project-013,000000000013,Hierarchy 009,5.32,0.00,0.00,0.00,5.320000,5.32
2025-12,Project 014,project-014,000000000014,Hierarchy 004,3.11,0.00,0.00,0.00,3.110000,3.11
2025-12,Project 015,project-015,000000000015,Hierarchy 010,0.67,0.00,0.00,0.00,0.670000,0.67
2025-12,Project 016,project-016,000000000016,Hierarchy 011,0.25,0.00,0.00,0.00,0.250000,0.25
2025-12,Project 017,project-017,000000000017,Hierarchy 012,0.17,0.00,0.00,0.00,0.170000,0.17
2025-12,Project 018,project-018,000000000018,Hierarchy 010,0.08,0.00,0.00,0.00,0.080000,0.08
2025-12,Project 019,project-019,000000000019,Hierarchy 013,0.03,0.00,0.00,0.00,0.030000,0.03
2025-12,Project 020,project-020,000000000020,Hierarchy 014,0.02,0.00,0.00,0.00,0.020000,0.02
2025-12,Project 021,project-021,000000000021,Hierarchy 015,0.01,0.00,0.00,0.00,0.010000,0.01
2025-12,Project 022,project-022,000000000022,Hierarchy 006,0.01,0.00,0.00,0.00,0.010000,0.01
2025-12,Project 022,project-022,000000000022,Hierarchy 016,0.00,0.00,0.00,0.00,0.000000,0.00
2025-12,Project 024,project-024,000000000024,Hierarchy 012,0.00,0.00,0.00,0.00,0.000000,0.00
2025-12,Project 023,project-023,000000000023,Hierarchy 014,0.00,0.00,0.00,0.00,0.000000,0.00
2025-11,Project 001,project-001,000000000001,Hierarchy 001,32227.38,0.00,-7876.72,-553.51,23797.150000,23797.15
2025-11,Project 002,project-002,000000000002,Hierarchy 001,9219.46,0.00,-1838.43,-145.29,7235.740000,7235.74
2025-11,Project 003,project-003,000000000003,Hierarchy 002,6341.94,0.00,-2069.82,-119.46,4152.660000,4152.66
2025-11,Project 004,project-004,000000000004,Hierarchy 003,5117.28,0.00,-2114.76,-25.05,2977.470000,2977.47
