Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-02,Cloud Storage,95FF-2EF5-5EA1,Standard Storage Europe Multi-region,EC40-8747-D6FF,"682,556.223",gibibyte month,5721.15,0.00,0.00,0.00,5721.150000,5721.15
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in EMEA,9431-52B1-2C4F,"665,601.491",hour,7139.11,0.00,-4003.86,-976.65,2158.600000,2158.60
2026-02,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,"54,063.781",gibibyte month,2938.30,0.00,0.00,0.00,2938.300000,2938.30
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Cpu in EMEA for 1 Year,4F49-1FC5-D994,"338,689.12",hour,2275.79,0.00,0.00,0.00,2275.790000,2275.79
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Extended support vCPU v10 in Belgium,376F-C88F-B033,"45,696",hour,1969.79,0.00,0.00,0.00,1969.790000,1969.79
2026-02,Compute Engine,6F81-5844-456A,Storage PD Snapshot in European Union,9ECE-16D9-A2B4,"81,893.43",gibibyte month,2196.95,0.00,0.00,0.00,2196.950000,2196.95
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - vCPU in EMEA,84B5-2F8B-3A6D,"64,512",hour,1621.34,0.00,0.00,0.00,1621.340000,1621.34
2026-02,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in EMEA,39F4-0112-6F39,"2,866,295.607",gibibyte hour,4586.44,0.00,-2445.04,-518.58,1622.820000,1622.82
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: N2 Cpu in EMEA for 1 Year,A121-1D02-4CFA,"214,368.709",hour,1459.41,0.00,0.00,0.00,1459.410000,1459.41
2026-02,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"9,620.461",gibibyte,1557.83,0.00,0.00,0.00,1557.830000,1557.83
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: Ram in EMEA for 1 Year,0FCC-C885-6989,"1,509,316.991",gibibyte hour,1404.72,0.00,0.00,0.00,1404.720000,1404.72
2026-02,BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,"329,646.403",gibibyte month,1073.57,0.00,0.00,0.00,1073.570000,1073.57
2026-02,Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - RAM in EMEA,C690-8FB3-59EE,"224,448",gibibyte hour,1093.54,0.00,0.00,0.00,1093.540000,1093.54
2026-02,Networking,E505-1604-58F8,Regional Internal Application Load Balancer Proxy Instance Charge for Belgium (europe-west1),059D-759A-D0A0,"117,988.5",hour,906.80,0.00,0.00,0.00,906.800000,906.80
2026-02,Compute Engine,6F81-5844-456A,Commitment v1: N2 Ram in EMEA for 1 Year,E6C5-0BFA-F6A6,"944,835.124",gibibyte hour,887.64,0.00,0.00,0.00,887.640000,887.64
2026-02,Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Frankfurt,378C-9DAC-0A5A,"10,693.975",gibibyte month,679.80,0.00,0.00,0.00,679.800000,679.80
2026-02,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional Global,1211-928B-AF92,"214,063.995",hour,778.53,0.00,0.00,0.00,778.530000,778.53
2026-02,Cloud Storage,95FF-2EF5-5EA1,Standard Storage Belgium,A703-5CB6-E0BF,"106,995.727",gibibyte month,741.76,0.00,0.00,0.00,741.760000,741.76
2026-02,BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,312.089,tebibyte,636.41,0.00,0.00,0.00,636.410000,636.41
