ByEntity,Entity 01($),Entity 02($),Entity 03($),Entity 04($),Entity 05($),Entity 06($)
ByEntity total,601914.4455334914,322554.0561591818,211858.9428932611,118105.2470852327,95832.9326412483,1405257.9540225945
2025-03-01,54833.458950269,35364.3236215238,21507.3338415759,9555.9315217984,8973.9351325458,137278.8245153823
2025-04-01,51377.4038354106,33919.7761451759,18914.4902860907,10164.8847805355,10206.1399133967,130870.8652417326
2025-05-01,46681.6070295132,30700.0771072873,18223.120082479,11489.7406330766,9871.1505953892,130691.2493462317
2025-06-01,51040.2731044147,32460.0989177723,19504.2211908533,9476.1994078572,8611.5276335319,123001.2546599912
2025-07-01,49114.8069789339,26539.5471088182,16559.7558077348,8579.8697027162,8390.5942107503,110735.9584749083
2025-08-01,44822.3335528054,24037.377678859,17600.7793476761,8966.5487136914,8113.3263380263,114281.0744506546
2025-09-01,51206.0410292393,27091.1503728214,17622.1310472981,9085.4418578845,7180.6179431901,106769.6133940465
2025-10-01,46194.8128458854,24482.7014744391,16674.3869980613,9284.7809829347,6942.6599945202,108291.1661823658
2025-11-01,49354.7462169353,22553.2511306444,15605.9218652013,10223.6423858219,8058.9046795368,102772.2857023895
2025-12-01,49694.0711526403,24251.6690243117,16530.1824138394,9507.1146742588,7191.9027594923,110717.5432293619
2026-01-01,50303.092151526,22163.8577042506,18125.6122510197,11914.6789936018,6514.8709821476,121304.3451437383
2026-02-01,57291.7986859183,18990.2258732781,14991.0077614315,9856.4134310557,5777.3024587211,108543.7736817917
